Entity,Code,Habitat Change
Northern Mariana Islands,MNP,-3.19%
Norway,NOR,-1.07%
Oman,OMN,-3.33%
Pakistan,PAK,-3.56%
Palau,PLW,-2.25%
Palestine,PSE,-2.44%
Panama,PAN,-3.41%
Papua New Guinea,PNG,-0.92%
Paraguay,PRY,-8.65%
Peru,PER,-2.09%
Philippines,PHL,-3.80%
Pitcairn,PCN,-2.34%
Poland,POL,-0.37%
Portugal,PRT,-1.75%
Puerto Rico,PRI,-3.58%
Qatar,QAT,-3.03%
Reunion,REU,-2.82%
Romania,ROU,-0.06%
Russia,RUS,0.84%
Rwanda,RWA,-14.08%
Saint Barthelemy,BLM,-4.62%
Saint Helena,SHN,-3.21%
Saint Kitts and Nevis,KNA,-4.32%
Saint Lucia,LCA,-4.11%
Saint Martin (French part),MAF,-4.87%
Saint Pierre and Miquelon,SPM,-3.08%
Saint Vincent and the Grenadines,VCT,-4.19%
Samoa,WSM,-1.90%
San Marino,SMR,1.18%
Sao Tome and Principe,STP,-6.06%
Saudi Arabia,SAU,-3.72%
Senegal,SEN,-12.43%
Serbia,SRB,-0.13%
Seychelles,SYC,-4.51%
Sierra Leone,SLE,-13.30%
Singapore,SGP,-3.15%
Sint Maarten (Dutch part),SXM,-4.55%
Slovakia,SVK,-0.09%
Slovenia,SVN,-0.43%
Solomon Islands,SLB,-1.45%
Somalia,SOM,-13.02%
South Africa,ZAF,-8.18%
South Georgia and the South Sandwich Islands,SGS,-4.26%
South Korea,KOR,-0.26%
South Sudan,SSD,-13.95%
Spain,ESP,-1.69%
Sri Lanka,LKA,-3.07%
Sudan,SDN,-12.33%
Suriname,Suriname,-3.23%
Svalbard,SJM,-1.00%
Sweden,SWE,-0.82%
Switzerland,CHE,-0.58%
Syria,SYR,-1.94%
Taiwan,TWN,-1.15%
Tajikistan,TJK,-1.74%
Tanzania,TZA,-15.55%
Thailand,THA,-2.30%
Timor,TLS,-2.56%
Togo,TGO,-14.23%
Tokelau,TKL,-2.21%
Tonga,TON,-2.12%
Trinidad and Tobago,TTO,-3.85%
Tunisia,TUN,-3.04%
Turkey,TUR,-0.54%
Turkmenistan,TKM,-1.43%
Turks and Caicos Islands,TCA,-4.36%
Tuvalu,TUV,-2.46%
Uganda,UGA,-14.56%
Ukraine,UKR,1.17%
United Arab Emirates,ARE,-2.89%
United Kingdom,GBR,-1.40%
United States,USA,-3.73%
United States Minor Outlying Islands,UMI,-3.64%
United States Virgin Islands,VIR,-3.97%
Uruguay,URY,-8.94%
Uzbekistan,UZB,-1.52%
Vanuatu,VUT,-1.93%
Venezuela,VEN,-2.49%
Viet Nam,VNM,-1.19%
Wallis and Futuna,WLF,-1.95%
Western Sahara,ESH,-4.01%
Yemen,YEM,-4.66%
Zambia,ZMB,-11.47%
Zimbabwe,ZWE,-10.85%
